Region|Country|IncomeGroup|IDA Status|Financial closure year|Financial closure Month|Project name|RelatedNames|Type of PPI|Subtype of PPI|Project status|Primary sector|Secondary sector|Subsector|Segment|Location|ContractPeriod|TerminationYear|PubliclyTraded|StockExchange|MultipleSystems|NumberOfSystems|CaptiveFacility|SharePercent|GovtGrantingContract|TypeOfGovtSupport|InvestmentYear|PercentPrivate|GovtPaymentCommitments|PhysicalAssets|TotalInvestment|CPI Adjusted Investment|GovCashAssist|dateStatusUpdated|CapacityType|Capacity|CapacityYear|Technology|ContractHistory|RelatedProjects|BidCriteria|AwardMethod|NumberOfBids|NumberRenewalBids|Sponsors|MultiLateralSupport|Revenue Source|RenewalBidCriteria|RenewalAwardMethod|DevelopmentStage|CommissioningDate|ProjectGrid|CarbonCredits|FundingYear|PrivateFunding|PublicFunding|GovtFunding|BankLocalFunding|DonorFunding|DebtEquityGrantRatio
East Asia and Pacific|Cambodia|Low income|IDA|2001|April|Kirirom 1 and 3 Hydropower Stations|Kirium Hydro Station Project|Concession|Rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Kirirom Area|32|2031|No|N/A|No|1|No||Federal||2001|100|0|20|20|25.9|||MW|12|2001|Hydro, Small (<50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|China Electric Power Technology Import and Export Corp (100% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Cambodia|Low income|IDA|2001|April|Kirirom 1 and 3 Hydropower Stations|Kirium Hydro Station Project|Concession|Rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Kirirom Area|32|2031|No|N/A|No|1|No||Federal||2008|100|Not Available|47.1|47.1|50.2|Not Available||MW|30|2008|Hydro, Small (<50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|China Electric Power Technology Import and Export Corp (100% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Cambodia|Low income|IDA|2007|April|ABC Phnom Penh Biomass Plant||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Phum Ang Snoul, Ang Snoul District, Kandal Region, Cambodia|||No|N/A|No||Yes|100|Federal||2007|100|Not Available|6.33|6.33|7.0|Not Available||MW|2|2007|Biomass|||Not Applicable||Not Applicable|Not Applicable|Angkor Bio Cogen (ABC) (100% / Cambodia)||PPA/WPA payments|Not Applicable|Not Applicable|Financial Closure|2007|Cambodia|Yes|||||||
East Asia and Pacific|Cambodia|Low income|IDA|2007|September|Kamchay Hydropower Station||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Kampot Province|44|2050|No|N/A|No|1|No||Federal||2007|100|0|280|280|310.1||12/1/09|MW|193|2007|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|Sinohydro (100% / China)||PPA/WPA payments|Not Applicable|Not Applicable|Financial Closure|2009|Cambodia|No|||||||
East Asia and Pacific|Cambodia|Low income|IDA|2007|April|Stung Atay River Hydropower Station||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Pursat Province|33|2040|No|N/A|No|1|No||Federal||2007|100|0|255.3|255.3|282.8|||MW|120|2007|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|China Yunnan Corporation For International Techno-Economic Cooperation (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|Cambodia|Low income|IDA|2010|July|Orussei Hydroelectric Power Plant|Orussey|Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Koh Kong Province|30|2042|No|N/A|No||No||Federal|Payment Guarantee|2010|100|Not Available|558|558|587.7|Not Available|7/1/10|MW|338|2010|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|China Huadian Corporation (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Cambodia|Low income|IDA|2010|July|Stung Russey Chrum Krom Hydropower Plant|Steun Russei Chrum Krom|Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Koh Kong Province|30|2045|No|N/A|No||No||Federal|Payment Guarantee|2010|100|Not Available|412|412|433.9|Not Applicable|7/1/10|MW|338|2010|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|China Huadian Corporation (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Available|Not Available|Financial Closure|||Yes|||||||
East Asia and Pacific|Cambodia|Low income|IDA|2010|April|Stung Tatay Hydropower Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Thmar Baing District, Koh Kong Province|42|2052|No|N/A|No||No||Federal|Payment Guarantee|2010|100|Not Available|540|540|568.8|Not Available|4/1/10|MW|246|2010|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|China National Heavy Machinery Corporation (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2015|Cambodia|Yes|||||||
East Asia and Pacific|Cambodia|Low income|IDA|2012|August|Soma Hak Se Biomass Plant||Greenfield project|Build, own, and operate|Under development|Energy|N/A|Electricity|Electricity generation|Kamphong Cham Region|||No|N/A|No||No||Federal||2012|100|Not Available|Not Available|0|0.0|Not Available||MW|1.5|2012|Biomass|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Soma Group (100% / Cambodia)||PPA/WPA payments|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated||Cambodia|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1993|April|Leshan Electric Power Co.||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Leshan, Sichuan Province|||Yes|Local|No||No||..||1993||18.7|0|18.7|29.7|||MW|41.1|1993|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Others (.. / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
